what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566405116
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338566410479
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338566433199
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566454883
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566493458
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566502164
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338566512743
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566514206
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338566519600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566540528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566551128
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delimiter.macOS9",1338566551181
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1338566551226
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1338566551232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566552078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566571644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566571774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566573399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566573565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566576080
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566577675
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338566579120
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566579422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566581586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566590090
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338566590284
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566591598
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566591711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566635785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566637890
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338566708419
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566730065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1338566736285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566738852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566793174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566797986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566874859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566875866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566930771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1338566945580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566947962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566951011
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338566956474
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338566958281
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338566963337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566971961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566976307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338566980918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338567140362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338567148028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338567219450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338567225244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338567228970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1338567229011
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338567230015
